PROPOSAL_NO,PI_ID,COLLEGE_TEXT,SPONSOR_NAME,PROPOSAL_TYPE_CD,SUBMIT_DT,REQUEST_AMT,PROP_STATUS_CD,AWARD_NO,AWARD_AMT,DECISION_DT,AWARD_START_DT,AWARD_END_DT,EXTRACT_TS
LP-2024-00017,I1170,College of Engineering,Apex Biotechnologies,INT,20240126,80000.00,CLS,LA-2024-00017,71200.00,20240626,20240902,20260902,20260831 235900
LP-2026-00018,I1012,College of Humanities,Vertex Mobility Systems,INT,20260811,154000.00,REV,,0.00,,,,20260831 235900
LP-2023-00019,I1179,College of Social Innovation,National Health Research Council,RES,20230501,102500.00,CLS,LA-2023-00019,81100.00,20230904,20231030,20251029,20260831 235900
LP-2023-00020,I1004,College of Humanities,National Health Research Council,TRN,20231014,61600.00,DCL,,0.00,20240126,,,20260831 235900
LP-2023-00021,I1089,School of Law and Public Policy,Internal Strategic Research Fund,RES,20230131,145600.00,CLS,LA-2023-00021,100000.00,20230730,20230921,20250314,20260831 235900
LP-2024-00022,I1114,College of Engineering,Biomedical Discovery Foundation,RES,20240829,65200.00,CLS,LA-2024-00022,59600.00,20241111,20241221,20251221,20260831 235900
LP-2025-00023,I1060,College of Humanities,Education Access Foundation,RES,20250727,283000.00,DCL,,0.00,20250903,,,20260831 235900
LP-2024-00024,I1099,College of Social Innovation,Department of Public Health,RES,20240708,261300.00,WD,,0.00,20241002,,,20260831 235900
LP-2023-00025,I1054,College of Science,Department of Public Health,RES,20230204,62500.00,CLS,LA-2023-00025,58500.00,20230614,20230628,20250627,20260831 235900
LP-2023-00026,I1096,College of Architecture and Design,Civic Data Collaborative,EQP,20231128,20700.00,CLS,LA-2023-00026,16600.00,20240519,20240531,20270531,20260831 235900
LP-2023-00027,I1165,School of Business,Education Access Foundation,TRN,20230210,470000.00,ACT,LA-2023-00027,308300.00,20230405,20230613,20260612,20260831 235900
LP-2025-00028,I1163,College of Social Innovation,National Health Research Council,RES,20250807,129300.00,AWD,LA-2025-00028,82100.00,20251229,20260118,20270712,20260831 235900
LP-2023-00029,I1082,College of Engineering,Education Access Foundation,TRN,20231213,209100.00,CLS,LA-2023-00029,141400.00,20240222,20240415,20251007,20260831 235900
LP-2025-00030,I1093,School of Business,National Science Foundation,FEL,20250901,133700.00,DCL,,0.00,20251010,,,20260831 235900
LP-2025-00031,I1059,College of Social Innovation,Advanced Technology Agency,EQP,20250116,56700.00,ACT,LA-2025-00031,37000.00,20250428,20250707,20280706,20260831 235900
LP-2024-00032,I1164,College of Humanities,Natural Sciences Research Council,RES,20240607,74200.00,ACT,LA-2024-00032,51500.00,20240913,20241004,20260328,20260831 235900
LP-2024-00033,I1105,School of Law and Public Policy,Natural Sciences Research Council,FEL,20240810,392400.00,DCL,,0.00,20241103,,,20260831 235900
LP-2026-00034,I1122,College of Engineering,Community Wellbeing Trust,INT,20260212,50100.00,DCL,,0.00,20260628,,,20260831 235900
LP-2025-00035,I1084,College of Humanities,Interdisciplinary Catalyst Fund,INT,20250321,32900.00,DCL,,0.00,20250611,,,20260831 235900
LP-2024-00036,I1090,College of Engineering,Global Health Foundation,RES,20240702,57500.00,ACT,LA-2024-00036,41600.00,20240806,20240906,20250906,20260831 235900
LP-2024-00037,I1089,School of Law and Public Policy,Apex Biotechnologies,EQP,20241014,44900.00,WD,,0.00,20250101,,,20260831 235900
LP-2023-00038,I1151,College of Health Sciences,Apex Biotechnologies,RES,20230306,382400.00,CLS,LA-2023-00038,302100.00,20230812,20230916,20250309,20260831 235900
LP-2026-00039,I1027,College of Social Innovation,Social Innovation Research Council,RES,20260213,108500.00,DCL,,0.00,20260518,,,20260831 235900
LP-2025-00040,I1143,College of Health Sciences,Biomedical Discovery Foundation,RES,20250327,142600.00,ACT,LA-2025-00040,104700.00,20250709,20250918,20270918,20260831 235900
LP-2024-00041,I1079,College of Health Sciences,Global Health Foundation,RES,20240314,40700.00,DCL,,0.00,20240426,,,20260831 235900
LP-2024-00042,I1060,College of Humanities,National Health Research Council,RES,20240814,112400.00,DCL,,0.00,20241218,,,20260831 235900
LP-2026-00043,I1059,College of Social Innovation,Faculty Seed Grant Program,RES,20260313,182300.00,ACT,LA-2026-00043,163800.00,20260711,20260724,20270724,20260831 235900
LP-2023-00044,I1092,College of Humanities,National Health Research Council,RES,20231221,73800.00,DCL,,0.00,20240618,,,20260831 235900
LP-2026-00045,I1144,College of Architecture and Design,Helix Medical Devices,RES,20260410,15000.00,AWD,LA-2026-00045,10700.00,20260809,20261011,20281010,20260831 235900
LP-2025-00046,I1171,College of Social Innovation,Education Access Foundation,RES,20251017,81500.00,ACT,LA-2025-00046,55500.00,20260301,20260330,20290329,20260831 235900
LP-2026-00047,I1102,College of Science,Biomedical Discovery Foundation,RES,20260513,53700.00,REV,,0.00,,,,20260831 235900
LP-2023-00048,I1029,School of Business,Vertex Mobility Systems,RES,20230128,410600.00,ACT,LA-2023-00048,343900.00,20230701,20230716,20260715,20260831 235900
LP-2025-00049,I1010,College of Engineering,Vertex Mobility Systems,RES,20251116,357100.00,DCL,,0.00,20260216,,,20260831 235900
LP-2025-00050,I1103,College of Health Sciences,Natural Sciences Research Council,RES,20250610,15000.00,ACT,LA-2025-00050,11700.00,20251115,20260107,20270701,20260831 235900
LP-2026-00051,I1026,College of Engineering,Civic Data Collaborative,TRN,20260120,52400.00,DCL,,0.00,20260325,,,20260831 235900
LP-2024-00052,I1010,College of Engineering,Department of Energy and Climate,TRN,20240329,109500.00,ACT,LA-2024-00052,72900.00,20240601,20240704,20260704,20260831 235900
LP-2025-00053,I1007,College of Health Sciences,Faculty Seed Grant Program,RES,20250917,68200.00,WD,,0.00,20260110,,,20260831 235900
LP-2024-00054,I1123,College of Social Innovation,Advanced Technology Agency,INT,20240406,340600.00,DCL,,0.00,20240921,,,20260831 235900
LP-2025-00055,I1180,College of Humanities,Future Cities Foundation,RES,20250810,291300.00,CLS,LA-2025-00055,255300.00,20251109,20251210,20281209,20260831 235900
LP-2024-00056,I1048,College of Architecture and Design,Social Innovation Research Council,RES,20240425,56900.00,CLS,LA-2024-00056,50600.00,20240629,20240810,20260810,20260831 235900
LP-2025-00057,I1131,College of Social Innovation,Biomedical Discovery Foundation,RES,20250518,73400.00,DCL,,0.00,20250823,,,20260831 235900
LP-2023-00058,I1119,College of Health Sciences,Northstar Analytics,RES,20230403,195500.00,ACT,LA-2023-00058,190900.00,20230731,20230925,20260924,20260831 235900
LP-2025-00059,I1112,College of Architecture and Design,Urban Resilience Network,EQP,20250103,150400.00,DCL,,0.00,20250409,,,20260831 235900
LP-2023-00060,I1147,College of Social Innovation,Internal Strategic Research Fund,RES,20231029,222600.00,ACT,LA-2023-00060,202500.00,20240108,20240321,20260321,20260831 235900
LP-2023-00061,I1088,College of Architecture and Design,Faculty Seed Grant Program,RES,20230810,71300.00,DCL,,0.00,20231127,,,20260831 235900
LP-2024-00062,I1158,College of Science,Northstar Analytics,RES,20241204,105100.00,ACT,LA-2024-00062,71700.00,20250111,20250227,20260227,20260831 235900
LP-2023-00063,I1145,School of Law and Public Policy,Social Innovation Research Council,RES,20230805,121900.00,DCL,,0.00,20231010,,,20260831 235900
LP-2024-00064,I1074,College of Engineering,Future Cities Foundation,FEL,20240914,167700.00,ACT,LA-2024-00064,141700.00,20241201,20250205,20270205,20260831 235900
LP-2025-00065,I1068,College of Humanities,Department of Public Health,EQP,20250114,290100.00,ACT,LA-2025-00065,217500.00,20250513,20250607,20260607,20260831 235900
LP-2025-00066,I1136,College of Architecture and Design,Northstar Analytics,FEL,20250814,102300.00,ACT,LA-2025-00066,84700.00,20251028,20260111,20270705,20260831 235900
LP-2024-00067,I1013,School of Business,Ontario Research Fund,RES,20240123,250600.00,CLS,LA-2024-00067,181600.00,20240418,20240520,20270520,20260831 235900
LP-2023-00068,I1107,College of Social Innovation,Interdisciplinary Catalyst Fund,FEL,20230219,203800.00,CLS,LA-2023-00068,197700.00,20230719,20230908,20250301,20260831 235900
LP-2026-00069,I1068,College of Humanities,National Science Foundation,RES,20260205,221800.00,DCL,,0.00,20260315,,,20260831 235900
LP-2026-00070,I1075,College of Social Innovation,Advanced Technology Agency,FEL,20260228,92000.00,DCL,,0.00,20260520,,,20260831 235900
LP-2025-00071,I1151,College of Health Sciences,National Science Foundation,TRN,20251021,215100.00,DCL,,0.00,20260115,,,20260831 235900
LP-2023-00072,I1047,College of Health Sciences,National Health Research Council,RES,20230617,36300.00,DCL,,0.00,20231214,,,20260831 235900
LP-2024-00073,I1024,College of Architecture and Design,National Health Research Council,RES,20241204,272000.00,DCL,,0.00,20250222,,,20260831 235900
LP-2023-00074,I1122,College of Engineering,Ontario Research Fund,EQP,20230303,96100.00,ACT,LA-2023-00074,90400.00,20230618,20230824,20260823,20260831 235900
LP-2023-00075,I1035,College of Social Innovation,Education Access Foundation,RES,20230302,46500.00,DCL,,0.00,20230820,,,20260831 235900
LP-2024-00076,I1066,College of Engineering,Natural Sciences Research Council,RES,20241230,1228500.00,DCL,,0.00,20250318,,,20260831 235900
LP-2025-00077,I1110,College of Science,Department of Public Health,TRN,20250916,314600.00,CLS,LA-2025-00077,292800.00,20251107,20251123,20271123,20260831 235900
LP-2025-00078,I1101,School of Business,International Research Consortium,RES,20251227,164600.00,AWD,LA-2025-00078,154300.00,20260307,20260417,20290416,20260831 235900
LP-2024-00079,I1090,College of Engineering,Community Wellbeing Trust,RES,20240228,193300.00,CLS,LA-2024-00079,153500.00,20240503,20240623,20251215,20260831 235900
LP-2024-00080,I1119,College of Health Sciences,Global Health Foundation,TRN,20240818,747300.00,CLS,LA-2024-00080,723700.00,20241214,20250221,20260221,20260831 235900
LP-2023-00081,I1065,School of Law and Public Policy,Apex Biotechnologies,RES,20230709,437800.00,DCL,,0.00,20231129,,,20260831 235900
LP-2023-00082,I1069,School of Business,Biomedical Discovery Foundation,RES,20231122,20900.00,ACT,LA-2023-00082,19800.00,20240503,20240609,20260609,20260831 235900
LP-2024-00083,I1133,School of Business,Interdisciplinary Catalyst Fund,EQP,20240310,175700.00,DCL,,0.00,20240518,,,20260831 235900
LP-2024-00084,I1077,School of Business,Apex Biotechnologies,RES,20240717,144000.00,DCL,,0.00,20250112,,,20260831 235900
LP-2024-00085,I1144,College of Architecture and Design,Global Development Partnership,RES,20240618,138000.00,DCL,,0.00,20240825,,,20260831 235900
LP-2025-00086,I1031,College of Health Sciences,Interdisciplinary Catalyst Fund,INT,20250208,143200.00,DCL,,0.00,20250319,,,20260831 235900
LP-2025-00087,I1095,College of Health Sciences,Natural Sciences Research Council,RES,20250629,212200.00,CLS,LA-2025-00087,166200.00,20250917,20251102,20281101,20260831 235900
LP-2025-00088,I1151,College of Health Sciences,Civic Data Collaborative,RES,20251007,107400.00,AWD,LA-2025-00088,72300.00,20260202,20260314,20270905,20260831 235900
LP-2023-00089,I1027,College of Social Innovation,Department of Public Health,RES,20230504,106400.00,CLS,LA-2023-00089,103400.00,20230829,20231018,20250410,20260831 235900
LP-2023-00090,I1123,College of Social Innovation,National Health Research Council,TRN,20231121,98900.00,CLS,LA-2023-00090,96100.00,20240210,20240309,20250309,20260831 235900
LP-2024-00091,I1095,College of Health Sciences,Northstar Analytics,RES,20240218,23400.00,CLS,LA-2024-00091,22200.00,20240520,20240627,20260627,20260831 235900
LP-2026-00092,I1060,College of Humanities,Global Development Partnership,FEL,20260113,73500.00,ACT,LA-2026-00092,69100.00,20260322,20260531,20280530,20260831 235900
LP-2023-00093,I1034,College of Engineering,Department of Energy and Climate,RES,20230706,319500.00,WD,,0.00,20230908,,,20260831 235900
LP-2023-00094,I1018,College of Engineering,Massachusetts Innovation Fund,INT,20230429,134800.00,DCL,,0.00,20230619,,,20260831 235900
LP-2025-00095,I1177,School of Law and Public Policy,Biomedical Discovery Foundation,RES,20251028,50400.00,DCL,,0.00,20260401,,,20260831 235900
LP-2024-00096,I1023,College of Health Sciences,National Health Research Council,RES,20240811,37500.00,CLS,LA-2024-00096,24300.00,20240920,20241127,20271127,20260831 235900
LP-2025-00097,I1005,School of Business,Social Innovation Research Council,RES,20251203,224000.00,CLS,LA-2025-00097,145800.00,20260604,20260621,20271213,20260831 235900
LP-2023-00098,I1096,College of Architecture and Design,National Health Research Council,RES,20231009,66800.00,ACT,LA-2023-00098,45800.00,20231212,20240119,20260118,20260831 235900
LP-2024-00099,I1176,College of Architecture and Design,Community Wellbeing Trust,RES,20240722,56700.00,ACT,LA-2024-00099,49100.00,20250125,20250325,20270325,20260831 235900
LP-2025-00100,I1054,College of Science,Interdisciplinary Catalyst Fund,RES,20250606,68700.00,DCL,,0.00,20250831,,,20260831 235900
LP-2025-00101,I1101,School of Business,Global Health Foundation,RES,20251016,56100.00,ACT,LA-2025-00101,38900.00,20260207,20260219,20270813,20260831 235900
LP-2024-00102,I1148,College of Humanities,Social Innovation Research Council,RES,20241113,62000.00,ACT,LA-2024-00102,51200.00,20250308,20250503,20260503,20260831 235900
LP-2026-00103,I1008,College of Architecture and Design,Social Innovation Research Council,INT,20260530,440500.00,REV,,0.00,,,,20260831 235900
LP-2023-00104,I1083,College of Social Innovation,Biomedical Discovery Foundation,FEL,20231201,58400.00,DCL,,0.00,20240309,,,20260831 235900
LP-2026-00105,I1179,College of Social Innovation,National Health Research Council,INT,20260516,206300.00,DCL,,0.00,20260620,,,20260831 235900
LP-2023-00106,I1088,College of Architecture and Design,National Science Foundation,RES,20230829,80800.00,CLS,LA-2023-00106,55800.00,20240222,20240313,20250904,20260831 235900
LP-2024-00107,I1089,School of Law and Public Policy,Urban Resilience Network,INT,20240830,545800.00,CLS,LA-2024-00107,445200.00,20241220,20250110,20270110,20260831 235900
LP-2026-00108,I1160,College of Architecture and Design,Helix Medical Devices,RES,20260621,168300.00,REV,,0.00,,,,20260831 235900
LP-2023-00109,I1092,College of Humanities,Civic Data Collaborative,RES,20231225,510700.00,WD,,0.00,20240524,,,20260831 235900
LP-2026-00110,I1112,College of Architecture and Design,Education Access Foundation,EQP,20260319,164000.00,DCL,,0.00,20260814,,,20260831 235900
LP-2023-00111,I1165,School of Business,Interdisciplinary Catalyst Fund,RES,20230910,90900.00,WD,,0.00,20231121,,,20260831 235900
LP-2024-00112,I1038,College of Science,Social Innovation Research Council,FEL,20240411,112100.00,ACT,LA-2024-00112,102000.00,20240930,20241010,20261010,20260831 235900
LP-2024-00113,I1158,College of Science,Global Health Foundation,TRN,20240915,81700.00,ACT,LA-2024-00113,81000.00,20241027,20241107,20261107,20260831 235900
LP-2023-00114,I1095,College of Health Sciences,Internal Strategic Research Fund,INT,20230112,31600.00,ACT,LA-2023-00114,26600.00,20230312,20230525,20240524,20260831 235900
LP-2023-00115,I1099,College of Social Innovation,Interdisciplinary Catalyst Fund,RES,20230719,120600.00,CLS,LA-2023-00115,83700.00,20231211,20240120,20250119,20260831 235900
LP-2023-00116,I1013,School of Business,Biomedical Discovery Foundation,RES,20230413,84500.00,WD,,0.00,20230612,,,20260831 235900
LP-2025-00117,I1143,College of Health Sciences,Global Development Partnership,EQP,20251203,15000.00,DCL,,0.00,20260421,,,20260831 235900
LP-2024-00118,I1083,College of Social Innovation,Helix Medical Devices,RES,20240113,100600.00,DCL,,0.00,20240309,,,20260831 235900
LP-2024-00119,I1113,School of Law and Public Policy,National Health Research Council,RES,20240521,87400.00,CLS,LA-2024-00119,65200.00,20240815,20240930,20270930,20260831 235900
LP-2026-00120,I1122,College of Engineering,National Health Research Council,INT,20260418,295900.00,WD,,0.00,20260823,,,20260831 235900
LP-2023-00121,I1147,College of Social Innovation,National Health Research Council,RES,20230630,156800.00,DCL,,0.00,20230917,,,20260831 235900
LP-2026-00122,I1094,College of Science,Department of Public Health,RES,20260706,178300.00,DCL,,0.00,20260831,,,20260831 235900
LP-2024-00123,I1007,College of Health Sciences,National Science Foundation,RES,20240925,712900.00,CLS,LA-2024-00123,506000.00,20250117,20250224,20260818,20260831 235900
LP-2023-00124,I1124,College of Humanities,National Health Research Council,EQP,20230619,105300.00,DCL,,0.00,20230920,,,20260831 235900
LP-2025-00125,I1119,College of Health Sciences,Department of Energy and Climate,RES,20251224,145200.00,DCL,,0.00,20260318,,,20260831 235900
LP-2025-00126,I1046,College of Science,Ontario Research Fund,RES,20251224,64500.00,CLS,LA-2025-00126,59500.00,20260130,20260327,20290326,20260831 235900
LP-2024-00127,I1082,College of Engineering,Faculty Seed Grant Program,FEL,20240109,108100.00,DCL,,0.00,20240418,,,20260831 235900
LP-2026-00128,I1113,School of Law and Public Policy,Department of Public Health,RES,20260202,137500.00,ACT,LA-2026-00128,118700.00,20260316,20260507,20290506,20260831 235900
LP-2023-00129,I1051,College of Social Innovation,Vertex Mobility Systems,RES,20230713,111200.00,CLS,LA-2023-00129,74200.00,20230830,20231013,20251012,20260831 235900
LP-2023-00130,I1053,School of Business,National Health Research Council,RES,20230113,109900.00,DCL,,0.00,20230512,,,20260831 235900
LP-2024-00131,I1023,College of Health Sciences,National Science Foundation,RES,20240502,283100.00,ACT,LA-2024-00131,267400.00,20241103,20241115,20261115,20260831 235900
LP-2025-00132,I1092,College of Humanities,Civic Data Collaborative,RES,20250701,414300.00,ACT,LA-2025-00132,408200.00,20251019,20251221,20281220,20260831 235900
LP-2026-00133,I1088,College of Architecture and Design,Ontario Research Fund,FEL,20260511,122100.00,ACT,LA-2026-00133,80100.00,20260825,20261008,20271008,20260831 235900
LP-2023-00134,I1028,College of Humanities,Ontario Research Fund,FEL,20231118,147000.00,CLS,LA-2023-00134,97100.00,20240416,20240507,20250507,20260831 235900
LP-2025-00135,I1002,College of Engineering,National Health Research Council,EQP,20250116,1205100.00,DCL,,0.00,20250713,,,20260831 235900
LP-2024-00136,I1052,College of Humanities,Ontario Research Fund,TRN,20241213,83300.00,ACT,LA-2024-00136,67900.00,20250520,20250617,20261209,20260831 235900
LP-2024-00137,I1144,College of Architecture and Design,International Research Consortium,RES,20240913,191800.00,ACT,LA-2024-00137,158800.00,20241027,20241212,20260605,20260831 235900
LP-2023-00138,I1155,College of Social Innovation,Interdisciplinary Catalyst Fund,INT,20230531,161900.00,CLS,LA-2023-00138,119000.00,20230926,20231124,20241123,20260831 235900
LP-2023-00139,I1110,College of Science,National Science Foundation,RES,20230613,80000.00,DCL,,0.00,20230809,,,20260831 235900
LP-2023-00140,I1135,College of Health Sciences,Community Wellbeing Trust,FEL,20230225,37000.00,CLS,LA-2023-00140,30400.00,20230715,20230801,20250731,20260831 235900
LP-2025-00141,I1099,College of Social Innovation,Urban Resilience Network,RES,20250517,304200.00,AWD,LA-2025-00141,297700.00,20251121,20260126,20270720,20260831 235900
LP-2024-00142,I1086,College of Science,Biomedical Discovery Foundation,RES,20241006,224300.00,ACT,LA-2024-00142,141700.00,20250204,20250309,20260309,20260831 235900
LP-2024-00143,I1049,School of Law and Public Policy,Global Health Foundation,RES,20240727,367500.00,DCL,,0.00,20250124,,,20260831 235900
LP-2024-00144,I1070,College of Science,Department of Energy and Climate,RES,20241022,481700.00,ACT,LA-2024-00144,426200.00,20250127,20250330,20260330,20260831 235900
LP-2024-00145,I1060,College of Humanities,Global Health Foundation,RES,20240513,165000.00,ACT,LA-2024-00145,115500.00,20240921,20241201,20260525,20260831 235900
LP-2024-00146,I1080,College of Architecture and Design,Faculty Seed Grant Program,INT,20241127,28200.00,CLS,LA-2024-00146,19100.00,20250514,20250708,20260708,20260831 235900
LP-2025-00147,I1007,College of Health Sciences,Natural Sciences Research Council,RES,20250615,64500.00,ACT,LA-2025-00147,45800.00,20250822,20251010,20261010,20260831 235900
LP-2026-00148,I1140,College of Humanities,Department of Energy and Climate,RES,20260424,61200.00,REV,,0.00,,,,20260831 235900
LP-2023-00149,I1082,College of Engineering,Department of Public Health,FEL,20230605,252500.00,CLS,LA-2023-00149,227200.00,20230824,20231013,20261012,20260831 235900
LP-2026-00150,I1087,College of Health Sciences,Apex Biotechnologies,RES,20260228,127900.00,ACT,LA-2026-00150,90800.00,20260713,20260913,20290912,20260831 235900
LP-2025-00151,I1016,College of Architecture and Design,Department of Public Health,RES,20250716,162900.00,ACT,LA-2025-00151,127200.00,20251122,20260126,20280126,20260831 235900
LP-2026-00152,I1075,College of Social Innovation,Community Wellbeing Trust,RES,20260711,95000.00,DCL,,0.00,20260831,,,20260831 235900
LP-2024-00153,I1044,College of Humanities,Civic Data Collaborative,FEL,20240904,127100.00,DCL,,0.00,20250102,,,20260831 235900
LP-2024-00154,I1031,College of Health Sciences,Interdisciplinary Catalyst Fund,EQP,20240517,110900.00,WD,,0.00,20240817,,,20260831 235900
LP-2026-00155,I1051,College of Social Innovation,Department of Energy and Climate,RES,20260111,195800.00,DCL,,0.00,20260520,,,20260831 235900
LP-2024-00156,I1053,School of Business,Global Development Partnership,TRN,20240328,342300.00,CLS,LA-2024-00156,271600.00,20240701,20240801,20270801,20260831 235900
LP-2026-00157,I1161,School of Law and Public Policy,National Science Foundation,EQP,20260711,132500.00,AWD,LA-2026-00157,106800.00,20260831,20261017,20291016,20260831 235900
LP-2024-00158,I1101,School of Business,Biomedical Discovery Foundation,RES,20241117,261500.00,ACT,LA-2024-00158,177700.00,20250405,20250504,20280503,20260831 235900
LP-2025-00159,I1142,College of Science,Natural Sciences Research Council,TRN,20251115,235100.00,DCL,,0.00,20260428,,,20260831 235900
LP-2023-00160,I1036,College of Humanities,Urban Resilience Network,RES,20230110,132400.00,DCL,,0.00,20230227,,,20260831 235900
LP-2024-00161,I1028,College of Humanities,Department of Public Health,RES,20240707,411700.00,CLS,LA-2024-00161,383600.00,20241118,20250110,20260110,20260831 235900
LP-2023-00162,I1091,College of Social Innovation,Urban Resilience Network,RES,20230919,160700.00,DCL,,0.00,20240113,,,20260831 235900
LP-2026-00163,I1121,School of Law and Public Policy,Natural Sciences Research Council,RES,20260118,98800.00,DCL,,0.00,20260318,,,20260831 235900
LP-2025-00164,I1119,College of Health Sciences,Natural Sciences Research Council,FEL,20250522,134300.00,DCL,,0.00,20251115,,,20260831 235900
LP-2025-00165,I1128,College of Architecture and Design,Faculty Seed Grant Program,RES,20250309,357600.00,CLS,LA-2025-00165,323100.00,20250629,20250902,20280901,20260831 235900
LP-2025-00166,I1169,School of Law and Public Policy,Global Health Foundation,RES,20250918,252900.00,DCL,,0.00,20251026,,,20260831 235900
LP-2023-00167,I1107,College of Social Innovation,Faculty Seed Grant Program,RES,20230401,226400.00,DCL,,0.00,20230824,,,20260831 235900
LP-2025-00168,I1054,College of Science,Massachusetts Innovation Fund,INT,20250927,503200.00,ACT,LA-2025-00168,374800.00,20260402,20260522,20280521,20260831 235900
LP-2023-00169,I1124,College of Humanities,Biomedical Discovery Foundation,TRN,20231215,176300.00,CLS,LA-2023-00169,143500.00,20240204,20240418,20260418,20260831 235900
LP-2023-00170,I1138,College of Engineering,Biomedical Discovery Foundation,RES,20230530,35900.00,CLS,LA-2023-00170,28800.00,20231009,20231221,20261220,20260831 235900
LP-2025-00171,I1073,School of Law and Public Policy,Social Innovation Research Council,RES,20250126,158000.00,ACT,LA-2025-00171,99100.00,20250615,20250714,20260714,20260831 235900
LP-2025-00172,I1124,College of Humanities,Ontario Research Fund,RES,20250903,172800.00,CLS,LA-2025-00172,120700.00,20251021,20251210,20261210,20260831 235900
LP-2025-00173,I1049,School of Law and Public Policy,Northstar Analytics,EQP,20250827,53400.00,ACT,LA-2025-00173,48100.00,20260225,20260425,20280424,20260831 235900
LP-2026-00174,I1118,College of Science,Social Innovation Research Council,FEL,20260609,329500.00,WD,,0.00,20260825,,,20260831 235900
LP-2023-00175,I1064,College of Architecture and Design,Internal Strategic Research Fund,RES,20230814,83700.00,DCL,,0.00,20240213,,,20260831 235900
LP-2025-00176,I1136,College of Architecture and Design,Internal Strategic Research Fund,RES,20251114,656900.00,ACT,LA-2025-00176,548600.00,20260428,20260515,20280514,20260831 235900
LP-2024-00177,I1051,College of Social Innovation,Urban Resilience Network,INT,20241114,37400.00,ACT,LA-2024-00177,31100.00,20250303,20250325,20260916,20260831 235900
LP-2024-00178,I1030,College of Science,Internal Strategic Research Fund,RES,20240523,65200.00,DCL,,0.00,20241104,,,20260831 235900
LP-2025-00179,I1120,College of Architecture and Design,Apex Biotechnologies,RES,20251018,50600.00,ACT,LA-2025-00179,49800.00,20251209,20260128,20270722,20260831 235900
LP-2023-00180,I1176,College of Architecture and Design,Northstar Analytics,RES,20230721,47700.00,CLS,LA-2023-00180,40500.00,20231021,20231205,20241204,20260831 235900
LP-2023-00181,I1081,School of Law and Public Policy,Ontario Research Fund,FEL,20230929,155200.00,DCL,,0.00,20240319,,,20260831 235900
LP-2023-00182,I1162,College of Engineering,Faculty Seed Grant Program,RES,20230703,101300.00,CLS,LA-2023-00182,64100.00,20231005,20231101,20261031,20260831 235900
LP-2024-00183,I1065,School of Law and Public Policy,Global Health Foundation,RES,20240702,83400.00,DCL,,0.00,20240930,,,20260831 235900
LP-2023-00184,I1170,College of Engineering,Interdisciplinary Catalyst Fund,RES,20230307,192100.00,ACT,LA-2023-00184,143400.00,20230415,20230601,20250531,20260831 235900
